kyc_pan,kyc_aadhar_verified,kyc_gst_returns_last_3y,kyc_gst_turnover,kyc_mcc_code,kyc_company_name,kyc_date_of_incorp,kyc_mca_returns_count,kyc_mca_returns_amount,cibil_credit_health,cibil_credit_mix_ratio,cibil_payment_history_12m,cibil_default_count,cibil_bounce_count,cibil_loans_closed,cibil_consolidated_monthly_emi,cibil_individual_loans_0_emi_amount,cibil_individual_loans_0_tenure_left_months,cibil_individual_loans_1_emi_amount,cibil_individual_loans_1_tenure_left_months,cibil_individual_loans_2_emi_amount,cibil_individual_loans_2_tenure_left_months,cibil_individual_loans_3_emi_amount,cibil_individual_loans_3_tenure_left_months,cibil_credit_age_months,bank_total_outflow,bank_total_inflow,bank_emi_count,bank_aggregated_emi_amount,bank_monthly_salary,bank_income_to_emi_ratio,bank_monthly_inflow_pattern_2025-01,bank_monthly_inflow_pattern_2025-02,bank_monthly_inflow_pattern_2025-03,bank_monthly_inflow_pattern_2025-04,bank_monthly_inflow_pattern_2025-05,bank_monthly_inflow_pattern_2025-06,bank_monthly_inflow_pattern_2025-07,bank_monthly_inflow_pattern_2025-08,bank_monthly_inflow_pattern_2025-09,bank_monthly_inflow_pattern_2025-10,bank_monthly_inflow_pattern_2025-11,bank_monthly_inflow_pattern_2025-12,bank_monthly_inflow_pattern_2024-01,bank_monthly_inflow_pattern_2024-02,bank_monthly_inflow_pattern_2024-03,bank_monthly_inflow_pattern_2024-04,bank_monthly_inflow_pattern_2024-05,bank_monthly_inflow_pattern_2024-06,bank_monthly_inflow_pattern_2024-07,bank_monthly_inflow_pattern_2024-08,bank_monthly_inflow_pattern_2024-09,bank_monthly_inflow_pattern_2024-10,bank_monthly_inflow_pattern_2024-11,bank_monthly_inflow_pattern_2024-12,bank_monthly_inflow_pattern_2023-01,bank_monthly_inflow_pattern_2023-02,bank_monthly_inflow_pattern_2023-03,bank_monthly_inflow_pattern_2023-04,bank_monthly_inflow_pattern_2023-05,bank_monthly_inflow_pattern_2023-06,bank_monthly_inflow_pattern_2023-07,bank_monthly_inflow_pattern_2023-08,bank_monthly_inflow_pattern_2023-09,bank_monthly_inflow_pattern_2023-10,bank_monthly_inflow_pattern_2023-11,bank_monthly_inflow_pattern_2023-12,bank_annual_inflow_outflow_2025,bank_annual_inflow_outflow_2024,bank_annual_inflow_outflow_2023,investments_mutual_fund_value,investments_nps_value,investments_pf_value,investments_equity_value,itr_annual_income,itr_itr_filed,itr_filing_consistency_3y,service_record_employment_years,service_record_job_changes,insurance_insured,insurance_insured_amount,labels_user_behavior_shift,labels_ability_to_default,labels_default_timeframe_months,labels_financially_secure
IMWHG7569S,True,16,0.0,7011,,2023-05-10,0,0.0,830.9,0.45,0.9,0,0,5,37533.98,45435.09,44,3637.19,7.0,25266.17,52.0,,,116,4029020.25,4829166.01,1,47898.33,133874.17,0.36,115269.89,136035.69,148203.69,130435.64,138327.55,127249.04,128575.93,132520.08,108262.13,130356.57,153662.73,132948.58,154951.65,142140.62,134108.09,130400.73,119751.97,154690.57,107783.31,153236.64,109471.97,149091.59,153101.92,109373.61,158258.98,135861.23,144616.66,128596.06,111826.83,146983.12,117485.83,133061.86,155005.44,148653.41,117887.3,130979.11,1.182,1.199,1.215,656634.74,789044.39,2491044.84,948417.71,929824.02,True,0.95,10.6,0,True,3703457.41,Stable,Low,36,True
XQEIU1035H,True,7,0.0,5734,,2016-06-17,0,0.0,498.5,0.58,0.71,3,8,0,28082.95,47808.4,28,36485.46,19.0,3594.33,32.0,,,12,562095.23,684467.88,4,16522.59,18768.53,0.88,17284.32,21584.83,17362.41,17414.26,16951.36,16782.15,16569.85,17507.17,21093.4,15900.64,22210.31,19521.51,20549.76,18353.81,17735.82,16462.92,21666.85,18420.07,18005.1,20481.83,18740.05,19076.24,19342.94,18537.86,17513.25,17508.95,21031.47,15445.29,22041.94,17861.15,22075.34,21029.37,20781.03,21717.86,17489.45,22417.34,1.238,1.217,1.2,66878.6,143422.03,449207.79,16365.82,494036.65,True,0.62,18.6,7,True,558391.84,Reactive,High,6,False
YZTSW0005L,True,36,29772320.94,5912,"Sem, Saha and Karpe",2023-05-13,12,233820.53,642.6,0.38,0.78,0,2,2,71386.02,24219.82,26,42624.02,49.0,42542.8,41.0,,,125,15052009.86,18058316.84,2,318477.8,491218.08,0.65,496410.62,503318.2,501360.78,559194.85,569839.87,584130.98,550639.91,589318.61,445574.33,580553.97,557660.97,469862.06,553225.59,548711.03,572888.86,515480.62,553881.82,487503.12,505639.86,494665.12,434631.2,412853.13,477458.77,404723.89,430284.02,463975.06,584055.9,448249.8,431083.47,487675.57,469055.48,402804.38,481462.42,410823.5,568817.32,510501.73,1.186,1.182,1.234,844817.98,57072.99,2034527.04,4681008.94,3990898.06,True,0.76,21.1,0,False,0.0,Unstable,Medium,12,False
MOHYQ5810K,True,27,0.0,7011,,2023-10-22,0,0.0,785.4,0.67,0.9,0,2,0,18602.58,37935.69,47,7517.04,38.0,,,,,122,5257959.99,6394704.36,1,58145.25,173110.1,0.34,180871.55,178472.52,166695.46,191176.25,158593.7,201148.58,141450.61,183099.43,176089.86,194241.29,185834.01,190140.31,206053.39,187613.4,188389.88,152738.39,154970.68,143410.05,148058.49,144536.01,144175.43,177656.25,202227.9,188326.63,194929.53,174537.55,153033.46,151859.06,196427.77,182065.36,184074.25,204289.43,176248.75,195339.46,206809.34,189120.32,1.208,1.246,1.197,1341048.76,436674.94,4204220.7,6324320.96,958636.83,True,0.92,18.2,0,False,0.0,Promising,Low,36,True
HFGOC2590L,True,27,4956908.75,5999,"Pant, Kala and Master",2016-01-11,11,217610.84,705.0,0.57,0.84,0,0,5,326007.83,17930.88,18,24828.12,56.0,49850.97,36.0,,,101,5936934.72,7231948.92,6,117951.32,202728.24,0.58,188246.48,173966.75,204144.36,222569.63,172834.29,162318.67,188696.15,186022.08,220521.64,221125.25,212580.06,195228.76,203454.19,222209.09,174752.91,231164.07,208936.78,230387.28,179019.36,236640.48,240206.71,182947.07,237299.79,192235.64,214786.53,185312.86,168574.74,194952.14,215335.23,188239.09,213751.57,171279.14,239486.86,200673.0,172552.78,179497.5,1.194,1.222,1.239,1875387.28,759273.4,2651242.45,1959583.25,5248847.35,True,0.9,11.2,1,True,6456106.85,Stable,Medium,12,False
JVPXF0694M,True,15,0.0,7011,,2022-12-23,0,0.0,752.5,0.79,0.91,3,4,5,25848.29,24864.03,47,13638.02,9.0,12885.06,44.0,,,8,1200472.91,1462662.5,4,16965.13,40924.46,0.41,47575.76,33958.75,43572.53,36750.32,36931.38,38034.34,35595.01,45364.04,43258.8,32789.93,46287.38,42454.59,47741.16,46773.94,36517.84,39317.4,37856.95,33686.82,39150.14,46401.4,38755.23,48416.76,39840.51,34659.49,46694.7,45141.66,43846.13,46653.41,45303.09,42855.48,37779.38,37913.65,37996.4,34808.03,37171.69,34808.4,1.249,1.205,1.203,519210.01,238574.41,669141.88,640803.9,800956.76,True,0.92,1.5,2,False,0.0,Reactive,High,2,False
MIEZZ4376E,True,35,0.0,5812,,2015-11-26,0,0.0,535.4,0.5,0.84,4,5,2,17471.37,34651.16,23,,,,,,,13,851720.1,1019269.1,6,24065.85,27737.87,0.87,23290.9,33244.47,25831.93,25631.15,29662.8,24183.26,28650.65,29756.55,27633.1,24787.37,29036.15,32329.06,22720.93,23393.28,29249.76,32943.84,31300.25,27842.48,29175.11,31286.89,26921.14,31338.14,31645.59,25701.79,27632.47,32989.21,30749.43,23373.92,26356.59,27966.29,32637.5,30557.05,28877.38,26090.38,23534.2,30948.09,1.189,1.198,1.203,201912.84,182346.36,93226.52,414107.3,463820.98,False,0.54,20.4,5,True,3518741.97,Reactive,High,1,False
WYIET7342T,True,24,0.0,5734,,2016-12-29,0,0.0,767.3,0.43,0.87,0,2,3,44745.34,29740.31,12,,,,,,,124,2240389.81,2695516.49,3,28552.92,77143.43,0.37,84059.4,72465.15,88027.06,87445.9,62163.53,80453.03,62765.69,64871.22,92022.66,75108.1,88329.19,68234.85,73427.31,80993.7,70787.72,79223.69,64493.03,74179.75,88446.18,64917.98,69702.52,72745.38,73183.44,62164.37,80392.05,65311.1,64517.39,78120.34,68051.91,80365.77,90056.04,90424.01,62150.38,76499.66,71022.25,68394.74,1.202,1.186,1.222,476149.19,52572.32,3689602.06,3217628.82,926521.44,True,0.88,12.8,2,False,0.0,Promising,Low,36,True
ZXQGL5760P,True,24,0.0,7011,,2020-03-10,0,0.0,724.6,0.33,0.52,0,1,4,23638.98,4825.64,23,,,,,,,44,872457.16,1055439.87,3,8627.04,30302.43,0.28,27231.27,28536.94,25315.0,34294.41,30070.36,26266.48,34057.57,26523.89,31050.76,29420.34,27188.97,28540.9,26348.68,35007.09,28219.23,30030.85,35701.52,25092.03,34938.21,25604.46,26016.38,31708.07,31541.1,28468.7,25658.98,25056.43,34088.8,34573.18,24567.95,25668.55,28732.5,33813.32,26992.06,27974.15,32426.41,28714.35,1.203,1.219,1.207,315698.39,145981.99,305661.38,1443325.68,365534.17,True,0.92,21.7,1,True,5900263.23,Promising,Medium,12,False
ZOFKP4857S,False,29,0.0,7011,,2024-08-09,0,0.0,714.7,0.66,0.54,0,2,5,27267.95,9778.72,22,22324.87,23.0,46822.83,15.0,,,38,1073949.33,1292291.65,5,16397.13,35360.53,0.46,38380.15,40492.0,31290.55,33501.75,41873.17,32979.04,29666.81,36412.74,42137.64,36268.86,33397.0,35790.93,36188.17,30644.78,30037.63,29984.1,41758.88,32539.95,33617.46,41543.45,40334.21,37342.94,28384.17,34806.46,37398.65,42143.68,40811.97,32809.53,41054.33,33226.55,29680.0,32487.92,37395.43,36539.76,41637.51,37733.48,1.186,1.222,1.203,8587.98,172212.65,857463.82,2354670.86,378518.21,True,0.8,17.9,2,True,9977023.66,Promising,Medium,12,False
HOUTK9012Z,True,13,0.0,8021,,2023-12-12,0,0.0,715.7,0.44,0.57,0,3,4,17569.01,28928.25,48,14931.48,7.0,30927.45,45.0,28451.94,15.0,175,896787.8,1110251.65,1,8927.65,30396.23,0.29,36425.19,25864.84,31330.5,35591.58,31285.84,27256.38,32992.63,35392.84,28522.44,29607.33,28466.41,31308.62,33527.15,27219.0,34789.8,26790.92,25654.75,29565.57,35410.97,25574.8,26530.71,24578.7,32060.7,34273.87,35313.03,35134.48,33221.03,31298.6,35533.28,28722.54,31104.93,34647.46,34428.24,29360.1,25623.35,25843.05,1.244,1.235,1.234,418572.2,123763.9,159125.28,1257670.19,665875.42,True,0.95,21.2,5,True,5032561.82,Promising,Medium,12,False
IGDKO3053T,True,14,0.0,5734,,2019-04-02,0,0.0,464.8,0.32,0.83,0,1,4,12828.73,37342.33,51,26616.01,8.0,18722.34,52.0,29229.94,26.0,41,888999.84,1086085.79,6,16055.88,30987.31,0.52,34479.94,35902.86,25561.02,28902.88,26210.22,26761.99,25581.36,28589.47,29525.97,34639.7,31360.96,26417.74,27690.7,30186.92,34844.58,34333.28,34086.87,33690.77,25814.97,34184.75,26088.85,26774.28,29697.86,34710.5,27641.73,31341.93,35782.72,34837.15,29142.84,29971.96,25516.92,30482.74,28046.2,37155.72,24818.92,25308.54,1.238,1.183,1.248,56104.78,26480.03,352158.14,570614.07,542146.14,True,0.7,16.1,7,True,566374.8,Unstable,High,2,False
JFBLY4058D,True,25,0.0,8021,,2021-07-15,0,0.0,775.2,0.73,1.0,0,0,5,17004.63,15813.42,50,8714.36,43.0,14003.34,52.0,26660.47,38.0,93,3215208.13,3942688.98,3,33587.67,105850.3,0.32,121823.7,118832.86,112980.9,110815.96,111569.21,91724.5,104704.9,126602.87,120418.07,113942.5,122947.5,116315.8,122665.67,112833.3,120904.25,114490.02,106599.95,118053.14,90507.29,88128.87,107578.31,122959.74,106674.75,118114.57,114921.18,87285.22,115339.21,107049.08,104463.45,101366.12,104510.4,96034.68,85847.64,85335.04,114539.61,123808.71,1.238,1.243,1.196,586947.01,322973.35,2343316.11,4935320.9,1862964.44,True,0.96,7.2,1,True,606614.68,Stable,Low,36,True
JXYRY0126O,True,8,0.0,8021,,2019-09-09,0,0.0,755.6,0.67,0.96,0,1,5,21632.97,3895.21,40,16807.11,47.0,7040.55,10.0,,,33,1449574.04,1775080.53,5,24993.67,48900.52,0.51,39545.23,55958.29,54134.52,57362.49,44371.93,58458.46,54167.37,47300.83,49206.86,53418.7,44783.38,58641.05,44043.73,57784.41,41655.61,43780.95,56670.05,54610.56,54910.48,50168.66,39567.79,46918.38,53818.27,39182.19,49360.43,45384.39,55365.25,41917.4,46499.65,49424.82,42191.28,45559.55,53762.71,49645.06,46400.24,49109.56,1.214,1.271,1.191,48407.01,85884.14,641251.28,1155232.92,523065.43,True,0.93,13.0,2,True,5002372.61,Promising,Medium,12,False
NWWTH1997G,True,27,0.0,5912,,2019-08-19,0,0.0,691.3,0.71,0.83,0,3,4,25344.03,9148.32,59,46576.44,21.0,14698.17,42.0,,,21,1154212.96,1387473.97,5,22179.96,38246.88,0.58,34851.69,45776.34,44777.98,39507.19,39084.85,36198.85,37871.68,44310.78,35009.98,36546.32,40937.45,34989.14,38940.18,40447.88,39195.03,32560.93,39409.93,37741.1,32082.89,39029.85,43451.75,35651.92,35125.22,37546.4,42431.34,45713.89,31497.8,43384.43,37498.91,42603.13,40300.59,36016.86,40001.72,40582.51,35692.77,30704.7,1.2,1.227,1.181,30617.38,83196.84,1192914.45,1828736.99,700384.51,True,0.85,10.4,5,True,5059920.32,Unstable,Medium,12,False
JGUCU0932W,True,26,0.0,7011,,2016-11-27,0,0.0,740.5,0.42,0.72,0,0,4,10243.21,20270.42,46,5576.71,41.0,12385.65,59.0,36463.7,21.0,39,2097365.52,2527974.68,2,25500.04,69683.77,0.37,80878.98,80686.4,76655.25,57939.97,81859.03,78098.14,62370.57,80495.5,60420.14,71021.88,74902.64,59342.36,56389.9,58960.75,67479.77,74097.29,60950.11,66129.88,65382.09,64646.44,59920.65,71316.01,82388.61,68934.17,74526.97,72817.27,70211.39,82733.65,57597.75,68164.89,75936.25,73546.18,80311.11,76432.62,72491.56,61938.49,1.167,1.218,1.234,9576.28,120513.77,354992.84,2260509.15,435643.9,True,0.73,9.4,3,True,9503843.13,Stable,Medium,12,False
SJPAX9526N,True,24,0.0,5734,,2016-02-03,0,0.0,727.9,0.64,0.74,0,3,0,17660.11,12029.3,48,,,,,,,131,1089991.84,1308056.02,6,20132.0,36086.64,0.56,43244.2,37001.0,31166.57,35599.66,37366.7,42236.21,35679.44,30760.54,37312.79,35653.8,30800.72,30839.76,31406.9,37495.79,30188.28,32840.19,43006.16,35357.48,37439.79,31710.78,37091.39,34838.59,35534.0,40166.37,33731.44,33437.38,42471.92,36207.69,38790.28,42350.29,41787.87,33676.47,40675.26,37900.08,30401.82,41888.42,1.247,1.211,1.15,354539.91,108421.94,305937.47,557790.43,614869.0,True,0.77,10.6,2,True,5584543.69,Promising,Medium,12,False
KJLCV7280H,True,3,0.0,5411,,2021-11-05,0,0.0,741.2,0.51,0.78,0,1,4,18004.13,44822.87,40,,,,,,,107,1591178.68,1908232.06,2,14681.68,53850.64,0.27,49974.63,60852.23,50445.59,56694.61,57166.55,64493.18,52249.92,61757.93,43620.65,60369.34,51132.97,48688.53,43534.55,55248.06,45856.4,54960.22,50044.76,56552.25,59136.97,61746.91,44998.83,44038.63,59283.48,55560.02,57489.76,49247.8,61026.31,47999.5,57051.53,50486.62,61246.6,45240.36,49122.02,46520.04,50732.31,43662.0,1.209,1.195,1.193,17219.69,88636.1,413929.87,1740966.46,890314.02,True,0.84,10.7,2,True,3756471.18,Promising,Medium,12,False
YCPAA4913I,True,18,0.0,5912,,2024-08-13,0,0.0,678.7,0.31,0.78,0,1,6,29001.68,20291.37,10,20380.54,22.0,45078.0,54.0,,,40,1835727.73,2244573.57,1,20323.03,61652.71,0.33,52481.65,73770.35,59892.71,57437.89,65087.94,73589.09,68884.34,51469.97,66072.58,58448.71,71526.21,71585.05,50535.59,50370.32,73738.42,55761.76,70605.45,71629.68,71365.1,52980.31,56963.34,54413.92,64622.03,54212.64,63944.7,68365.29,54793.28,70493.06,64523.04,56096.3,51037.69,73037.56,65015.46,59672.63,56350.54,63798.94,1.252,1.21,1.206,221940.94,97893.76,889975.41,1390781.3,434977.66,True,0.78,16.2,4,True,1186061.39,Unstable,Medium,12,False
AEOFA3749Q,True,26,0.0,5999,,2019-09-02,0,0.0,669.6,0.78,0.71,0,0,6,27431.56,44016.23,54,33455.0,15.0,13568.3,29.0,,,173,1760087.69,2115716.23,5,25198.48,59825.85,0.42,69947.55,66090.02,62587.45,52754.8,56109.8,67460.86,50145.99,71708.84,52276.76,54635.98,50612.17,56064.57,66031.36,65104.76,70940.69,55970.98,48580.4,63380.76,57635.01,51899.42,65949.45,54296.63,69867.25,69509.99,53255.23,50025.77,48151.99,60503.96,54984.38,56427.78,49556.95,65306.24,51068.24,58147.39,60913.63,57813.14,1.18,1.228,1.199,460301.05,32927.66,109840.93,2528446.98,483600.11,True,0.9,21.6,5,False,0.0,Stable,Medium,12,False
DUQXQ1915U,True,35,21608322.94,5734,"Kale, Bajwa and Seth",2016-05-24,11,270934.82,643.0,0.37,0.75,0,0,3,41807.71,11203.13,24,37547.15,9.0,18061.25,31.0,3221.77,44.0,60,12998260.09,16191358.55,1,285246.66,444515.3,0.64,448430.77,475378.98,521590.72,416015.33,445898.57,443501.33,528898.67,440372.05,395547.24,466361.2,462122.64,483183.26,441119.68,464435.98,431607.85,467946.67,366423.38,481294.73,396277.67,522565.93,374113.19,492534.39,440287.71,474687.89,434863.59,375118.21,399807.97,411056.06,463741.6,518481.65,425849.44,429841.41,493476.43,394537.16,461566.6,502422.6,1.298,1.22,1.22,150863.88,1146004.84,1457319.32,8592707.23,2555224.2,True,0.79,21.7,1,False,0.0,Stable,Medium,12,False
